{'epochs': 3, 'lot_size': 78, 'lr': 0.0015151431215196113, 'l2_clipping_bound': 1.7354763139632972, 'z': 2.655940687147833, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 44, 'lr': 0.003617177488857087, 'l2_clipping_bound': 0.8661810281363734, 'z': 1.017588164905726, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 73, 'lr': 0.005540482571876886, 'l2_clipping_bound': 0.8695315169875167, 'z': 2.5211402586122844, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 4, 'lot_size': 40, 'lr': 0.0026116828744811725, 'l2_clipping_bound': 0.9385336692915253, 'z': 1.477259395572184, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 69, 'lr': 0.008063297190482478, 'l2_clipping_bound': 1.4610404503980425, 'z': 3.1245388944568706, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 96, 'lr': 0.0021540801206863993, 'l2_clipping_bound': 0.6876328265196593, 'z': 6.818551429590729, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 45, 'lr': 0.008198991518302098, 'l2_clipping_bound': 0.810957405952043, 'z': 3.181235055943741, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 4, 'lot_size': 46, 'lr': 0.009089429086120801, 'l2_clipping_bound': 1.8383788650908761, 'z': 3.0233388201790374, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 76, 'lr': 0.005587272821814166, 'l2_clipping_bound': 0.14412088502553944, 'z': 2.7594307667776024, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 85, 'lr': 0.0023438711199336684, 'l2_clipping_bound': 1.0488715948442042, 'z': 2.9018862314952605, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 44, 'lr': 0.002906400771580347, 'l2_clipping_bound': 0.45214084149933575, 'z': 6.7971617105390445, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 79, 'lr': 0.00458331150501465, 'l2_clipping_bound': 1.2984568650192756, 'z': 2.8831647421261644, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 66, 'lr': 0.004714766249795173, 'l2_clipping_bound': 0.12444452741975671, 'z': 2.2477835501092462, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 4, 'lot_size': 39, 'lr': 0.0023333348924448414, 'l2_clipping_bound': 0.4099472285910065, 'z': 5.0636792728883036, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 86, 'lr': 0.007328192650505525, 'l2_clipping_bound': 1.195804397751042, 'z': 6.922486021065638, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 63, 'lr': 0.003696889732048187, 'l2_clipping_bound': 1.5984916464676304, 'z': 4.478801036020062, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 85, 'lr': 0.003035930475480495, 'l2_clipping_bound': 1.7403533164998841, 'z': 6.474466900717516, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 69, 'lr': 0.005648952019435088, 'l2_clipping_bound': 1.1416338230351228, 'z': 1.8374712090156378, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 93, 'lr': 0.005364977281780809, 'l2_clipping_bound': 0.11517422934376972, 'z': 1.1162592245454288, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 73, 'lr': 0.005539751694395933, 'l2_clipping_bound': 0.1600671424223949, 'z': 3.9174931166772224, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
